Timestamp,speed_kmph,accel_x,accel_y,brake_pressure,steering_angle,throttle,lane_deviation,phone_usage,headway_distance,reaction_time,behavior_label
0,36.07501122,0.535763419,0.7086331754,23.10781172,-3.16995609,53.12350548,0.8518714846,1,17.99600457,1.400049711,Distracted
0.01,38.09053633,0.9737639558,0.04431209805,36.96113667,-24.38008154,36.38390437,1.459495104,1,29.90418225,1.428536691,Distracted
0.02,71.3144449,1,0.7893752669,79.73408727,-6.100237851,78.11050734,0.2547229621,0,11.12601226,0.4069498441,Aggressive
0.03,86.48599704,1,0.2219655749,45.00700187,17.88619142,82.79493539,0.9116640085,0,11.06450521,0.5399642642,Aggressive
0.04,52.81677736,-0.2017628399,0.5606191524,38.75961162,-4.104322758,61.43237536,1.591243728,1,21.96757045,1.369907717,Distracted
0.05,42.98538785,0.7211614607,0.0859428137,6.230913613,-1.919281047,27.73303077,0.1837295159,0,37.25784547,0.9838410753,Safe
0.06,61.72637219,0.3083466768,0.02179599055,19.95654635,-0.01521243716,47.93216516,0.3907264424,0,47.89756944,0.9675650472,Safe
0.07,52.97121797,0.1225104489,0.007113496743,19.12588893,-1.600153883,21.89035301,0.07559150931,0,26.99795904,0.8578889229,Safe
0.08,54.35165961,0.5175351069,0.1041480267,20.37881488,-0.457551118,48.17872841,0.2932668213,0,34.62407133,0.9185549873,Safe
0.09,59.05471135,0.9826342874,0.328731979,22.39051151,4.45294373,40.5614929,0.8150632486,1,11.28102778,1.489035948,Distracted
0.1,50.54343845,0.6277733392,0.08241245991,10.70821189,1.317679666,37.07859434,0.07397419543,0,34.32033628,0.9854465778,Safe
0.11,47.87915727,0.673331209,0.3108219518,44.20685626,14.86686458,67.60097918,0.7046611408,1,27.69375927,1.528771963,Distracted
0.12,51.17566355,0.8218568905,0.5963452963,40.41747281,37.05638195,65.28320813,0.5660987486,1,22.73796716,1.39163358,Distracted
